应用名称,上架平台,应用类型,上架时间,开发者,备注,访问链接
换发型秀,手机(平板可下载),工具,2025/09/23,长沙拾柴网络科技有限公司,09/28新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.shichaiw.harmonyhfxx&channelId=SHARE&source=appshare
小夏识花,手机和平板,工具,2025/09/23,深圳市斗图科技有限公司,09/28新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.yinyuejianji.flowerid&channelId=SHARE&source=appshare
歇后通,手机和平板,教育,2025/09/23,许冬冬,09/28新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.621design.xiehouyu&channelId=SHARE&source=appshare
光储配比助手,手机和平板,商务,2025/09/23,刘翔宇,09/27新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=comm.tiku.kuijishi&channelId=SHARE&source=appshare
愿无被骗,手机和平板,生活服务,2025/09/23,深圳补阙科技有限公司,09/27新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.colcoc.nofraud&channelId=SHARE&source=appshare
Deep翻译,手机(平板可下载),工具,2025/09/23,北京贵创网络科技有限公司,09/27新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.guichuang1.hmapp&channelId=SHARE&source=appshare
心意购选,手机(平板可下载),购物,2025/09/23,西安淼创自动化技术有限公司,09/26新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=asia.miaochuang.xinyigou&channelId=SHARE&source=appshare
精准测量尺,手机(平板可下载),工具,2025/09/23,中软国际科技服务有限公司,09/26新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.chinasoft.tools.api12.jingzhunceliangchi&channelId=SHARE&source=appshare
童话梦工厂,手机(平板可下载),教育,2025/09/23,中软国际科技服务有限公司,09/26新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.chinasoft.tools.api12.tonghuamenggongchang&channelId=SHARE&source=appshare
家庭云相册,手机和平板,工具,2025/09/23,西安嗅嗅科技有限责任公司,群友 Q 提供,https://appgallery.huawei.com/app/detail?id=com.xaxx.backup&channelId=SHARE&source=appshare
声波创想师,手机、平板和电脑,音乐,2025/09/23,胡嘉欣,09/25新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.jesse.soundlab.hos&channelId=SHARE&source=appshare
视频下载去水印,手机(平板可下载),拍摄美化,2025/09/23,长沙米库网络科技有限公司,09/25新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.longmikuhm.videodown&channelId=SHARE&source=appshare
儿童开心农场,手机(平板可下载),儿童,2025/09/23,广州拓辰信息技术有限公司,09/25新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.touchtech.farm.toh&channelId=SHARE&source=appshare
宝宝学语,手机(平板可下载),儿童,2025/09/23,曾国涛,09/25新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.endy.babyspeak&channelId=SHARE&source=appshare
朋友圈文案,手机(平板可下载),资讯,2025/09/23,长沙奕欢互联网有限公司,09/25新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=pengyouquanwenan.qinglanzhuma.huawei&channelId=SHARE&source=appshare
二维码生成工具,手机(平板可下载),工具,2025/09/23,长沙尺度网络科技有限公司,09/25新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.cschidu.harmonyewmscgj&channelId=SHARE&source=appshare
出游小册子,手机(平板可下载),工具,2025/09/23,张颖旋,09/25新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.kathy.travel&channelId=SHARE&source=appshare
我的图库,手机(平板可下载),主题,2025/09/23,长沙紫贻互联网科技有限公司,09/25新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=cszy.wdtk.dntkbz.hm&channelId=SHARE&source=appshare
静心小天地,手机(平板可下载),运动健康,2025/09/23,中软国际科技服务有限公司,09/25新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.chinasoft.tools.api12.jingxinxiaotiandi&channelId=SHARE&source=appshare
记事,手机(平板可下载),商务,2025/09/23,济南萌蜜信息技术有限公司,09/25新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=jhq.sxb.jij.hm&channelId=SHARE&source=appshare
UDOList,手机(平板可下载),效率,2025/09/23,陈俊豪,09/25新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.udo.list&channelId=SHARE&source=appshare
设备之家,手机(平板可下载),商务,2025/09/23,永赢金融租赁有限公司,09/24新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.maxwealthfl.mwhoe.hm&channelId=SHARE&source=appshare
快音,手机(平板可下载),音乐,2025/09/23,成都开心音符科技有限公司,09/24新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.kuaiyin.hm.player&channelId=SHARE&source=appshare
美物清单,手机(平板可下载),购物,2025/09/23,美迅科技（北京）有限公司,09/24新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.shouqu.mommypocket_hongmeng&channelId=SHARE&source=appshare
东方海外,手机和平板,商务,2025/09/23,货讯通科技(珠海)有限公司,09/24新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.oocl.ooclapp&channelId=SHARE&source=appshare
AI写作鹅,手机(平板可下载),工具,2025/09/23,合肥欧米信息科技有限公司,09/24新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.my.hmaixze&channelId=SHARE&source=appshare
纪念日,手机(平板可下载),工具,2025/09/23,武汉网幂科技有限公司,09/24新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.coolApps.countDays.hm&channelId=SHARE&source=appshare
宝莲灯,手机(平板可下载),工具,2025/09/23,亿联智控科技（深圳）有限公司,09/24新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=hw.elk.smartled&channelId=SHARE&source=appshare
配音鹅,手机(平板可下载),工具,2025/09/23,合肥培音信息科技有限公司,09/24新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.my.hmpye&channelId=SHARE&source=appshare
手机铃声设置,手机、平板和电脑,工具,2025/09/23,辽宁流年科技有限公司,09/24新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.liunian.lingling&channelId=SHARE&source=appshare
字典词典大全,手机、平板和电脑,教育,2025/09/23,辽宁流年科技有限公司,09/24新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.liunian.hanyuzidian&channelId=SHARE&source=appshare
凡游进销存系统,手机和平板,商务,2025/09/23,厦门市凡游网络科技有限公司,09/24新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.xmfanyou.app23&channelId=SHARE&source=appshare
密小助,手机、平板和电脑,工具,2025/09/23,冯永阁,09/24新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.yckj.mhelper&channelId=SHARE&source=appshare
掌旗小说阅读器,手机(平板可下载),工具,2025/09/23,武汉诺加信息技术有限公司,09/24新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.yydq.dzsydq.harm&channelId=SHARE&source=appshare
密鸽,手机和平板,工具,2025/09/23,北京信长城科技发展有限公司,09/24新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.iwall.xcc.mige&channelId=SHARE&source=appshare
妙语AI,手机、平板和电脑,工具,2025/09/23,成都小白里科技有限公司,09/24新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.xbl.miaoyu&channelId=SHARE&source=appshare
小语阅读一级,手机和平板,教育,2025/09/23,山东珠穆朗玛人工智能有限公司,09/24新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.iyubarz.bookworm0&channelId=SHARE&source=appshare
消防课堂,手机和平板,教育,2025/09/23,清大东方消防科技集团有限公司,09/24新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.guokaoxitong.iapp&channelId=SHARE&source=appshare
电子成绩单,手机(平板可下载),教育,2025/09/23,谢丽玲,09/24新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.faistudio.grade_management_system_ohos&channelId=SHARE&source=appshare
日语旅游口语999句,手机和平板,教育,2025/09/23,上海海笛数字出版科技有限公司,09/24新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.haidii.hdlg_999jyjry_12006&channelId=SHARE&source=appshare
韩语旅游口语999句,手机和平板,教育,2025/09/23,上海海笛数字出版科技有限公司,09/24新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.haidii.hdlg_999jyjhy_12005&channelId=SHARE&source=appshare
带着日语去旅行,手机和平板,教育,2025/09/23,上海海笛数字出版科技有限公司,09/24新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.haidii.hdlg_dzryqlx_12015&channelId=SHARE&source=appshare
韩语发音词汇会话,手机和平板,教育,2025/09/23,上海海笛数字出版科技有限公司,09/24新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.haidii.hdlg_hyfyrm_12007&channelId=SHARE&source=appshare
带着韩语去旅行,手机和平板,教育,2025/09/23,上海海笛数字出版科技有限公司,09/24新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.haidii.hdlg_dzhyqlx_12013&channelId=SHARE&source=appshare
韩语发音词汇学习,手机和平板,教育,2025/09/23,上海海笛数字出版科技有限公司,09/24新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.haidii.hdlg_hyfylm_12002&channelId=SHARE&source=appshare
日语发音词汇会话,手机和平板,教育,2025/09/23,上海海笛数字出版科技有限公司,09/24新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.haidii.hdlg_ryfyrm_12008&channelId=SHARE&source=appshare
DJI Home,手机(平板可下载),工具,2025/09/23,深圳市大疆创新科技有限公司,,https://appgallery.huawei.com/app/detail?id=com.dji.hm.home&channelId=SHARE&source=appshare
穗好办,手机和平板,生活服务,2025/09/23,广州市政务服务数据管理局,群友 无昵称 提供,https://appgallery.huawei.com/app/detail?id=com.guangzhou.shb&channelId=SHARE&source=appshare
驿策,手机(平板可下载),工具,2025/09/23,张家港市昱俊铖科技有限公司,09/23新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.zjgsyjc.stagehouse&channelId=SHARE&source=appshare
星座星盘,手机(平板可下载),生活服务,2025/09/22,成都森淼湖科技有限公司,09/28新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.smlake.satellite.hos&channelId=SHARE&source=appshare
知识合伙人,手机(平板可下载),工具,2025/09/22,成都森淼湖科技有限公司,09/28新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.smlake.baikezs.hos&channelId=SHARE&source=appshare
社会工作者刷题,手机和平板,教育,2025/09/22,广州山水居科技有限公司,09/28新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.weimei168.shegong&channelId=SHARE&source=appshare
研究生考试题库,手机和平板,教育,2025/09/22,广州山水居科技有限公司,09/28新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.weimei168.kaoyan&channelId=SHARE&source=appshare
酷酷会员管理,手机和平板,商务,2025/09/22,石家庄七火科技有限公司,09/27新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=top.sevenfire.ccvipm&channelId=SHARE&source=appshare
图表大师,手机和平板,工具,2025/09/22,厦门市凡游网络科技有限公司,09/26新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.xmfanyou.app17&channelId=SHARE&source=appshare
分布式AI聊天室,手机和平板,工具,2025/09/22,刘智开,09/26新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.example.aispeek&channelId=SHARE&source=appshare
相约乒乓,手机和平板,运动健康,2025/09/22,黄文杰,09/26新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=Huangwj.XiangYuePingPang.huawei&channelId=SHARE&source=appshare
NFC读卡专家,手机,工具,2025/09/22,合肥纪念谷科技有限公司,09/25新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.jiniangu.nfc.hm&channelId=SHARE&source=appshare
每日菜谱大全,手机(平板可下载),美食,2025/09/22,济南树英软件科技有限公司,09/25新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.cookmenu.daliysyhm&channelId=SHARE&source=appshare
画中画,手机(平板可下载),工具,2025/09/22,长沙紫贻互联网科技有限公司,09/25新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=cszy.ksaofkpowu.tghdsx.hm&channelId=SHARE&source=appshare
奇奇影院,手机(平板可下载),工具,2025/09/22,长沙绮沅网络科技有限公司,09/25新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.aicity.mydog.diary&channelId=SHARE&source=appshare
名画集,手机和平板,艺术与设计,2025/09/22,张科洋,09/25新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.sopolive.art&channelId=SHARE&source=appshare
相册修复翻新,手机(平板可下载),拍摄美化,2025/09/22,长沙遁甲网络科技有限公司,09/25新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.dunjiakj.harmonyxcxffx&channelId=SHARE&source=appshare
囚徒健身大全,手机(平板可下载),体育,2025/09/22,滨州幻境网络科技有限公司,09/24新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.huanjing.jianshen&channelId=SHARE&source=appshare
一起下棋,手机、平板和电脑,休闲娱乐,2025/09/22,潘祥智,09/24新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=cn.pan2017.yiqixiaqi&channelId=SHARE&source=appshare
手机NFC门禁卡读取器软,手机(平板可下载),工具,2025/09/22,广州七角星科技有限公司,09/24新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=msdf.com.hm&channelId=SHARE&source=appshare
我的花草,手机(平板可下载),工具,2025/09/22,广州洋海网络科技有限公司,09/24新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.yanghaihm.huacao&channelId=SHARE&source=appshare
心岛,手机(平板可下载),工具,2025/09/22,庞亚静,09/24新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=Follow.com.Box&channelId=SHARE&source=appshare
安语AI,手机、平板和电脑,工具,2025/09/22,成都小白里科技有限公司,09/24新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.xbl.anyu&channelId=SHARE&source=appshare
模拟位置Fakel,手机(平板可下载),工具,2025/09/22,长沙阿可网络科技有限公司,09/24新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=bnzxyq.akdltb.cfhgfljh&channelId=SHARE&source=appshare
地理探索家,手机(平板可下载),教育,2025/09/22,长沙奕欢互联网有限公司,09/24新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=dilitansuojia.qinglanzhuma.huawei&channelId=SHARE&source=appshare
智能算法学习手册,手机和平板,教育,2025/09/22,李锦成,09/24新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=cn.ljcljc.smartalgo&channelId=SHARE&source=appshare
